clan_1_id,clan_2_id,clan_1_points,clan_2_points,clan_winner
clan_17520,clan_36606,3,90,2
clan_12751,clan_11987,3,90,2
clan_18119,clan_28934,3,90,2
clan_20428,clan_48128,3,90,2
clan_26964,clan_27846,3,90,2
clan_36951,clan_37696,3,90,2
clan_1378,clan_1101,3,90,2
clan_45975,clan_44931,3,92,2
clan_17807,clan_28430,3,92,2
clan_6893,clan_22060,3,92,2
clan_21756,clan_41333,3,92,2
clan_16943,clan_27535,3,94,2
clan_31397,clan_39812,3,96,2
clan_15833,clan_33908,3,96,2
clan_8991,clan_33810,3,96,2
clan_25982,clan_42594,3,96,2
clan_14476,clan_39381,3,96,2
clan_4169,clan_5697,3,96,2
clan_27915,clan_42727,3,96,2
clan_30008,clan_46035,3,96,2
clan_24130,clan_42377,3,96,2
clan_5226,clan_36282,3,96,2
clan_17386,clan_1906,3,96,2
clan_44171,clan_44626,3,96,2
clan_47543,clan_41796,3,96,2
clan_38600,clan_38563,3,96,2
clan_39980,clan_33795,3,96,2
clan_31970,clan_17106,3,96,2
clan_5198,clan_14905,3,96,2
clan_6581,clan_36613,3,96,2
clan_24553,clan_8027,3,98,2
clan_6751,clan_47862,3,102,2
clan_17868,clan_13397,3,102,2
clan_13597,clan_40412,3,102,2
clan_3349,clan_37374,3,102,2
clan_14285,clan_38239,3,102,2
clan_14934,clan_21833,3,102,2
clan_21350,clan_14554,3,102,2
clan_829,clan_1076,3,136,2
clan_4075,clan_33590,4,70,2
clan_14680,clan_39189,4,78,2
clan_25544,clan_31356,4,80,2
clan_10320,clan_23685,4,85,2
clan_18571,clan_21125,4,86,2
clan_4106,clan_38757,4,86,2
clan_14320,clan_24869,4,86,2
clan_3927,clan_19836,4,87,2
clan_5302,clan_25156,4,96,2
clan_41646,clan_46583,4,96,2
clan_43649,clan_48528,4,136,2
clan_11312,clan_3765,5,40,2
clan_8458,clan_10198,5,68,2
clan_27311,clan_18489,5,70,2
clan_12510,clan_9452,5,77,2
clan_21464,clan_29842,5,84,2
clan_7395,clan_20900,5,86,2
clan_43067,clan_1992,5,86,2
clan_19619,clan_7731,5,86,2
clan_21232,clan_39744,5,86,2
clan_5055,clan_29843,5,86,2
clan_31898,clan_35189,5,88,2
clan_16447,clan_30506,5,92,2
clan_10196,clan_19489,5,96,2
clan_14856,clan_18397,5,96,2
clan_28353,clan_1322,5,96,2
clan_23345,clan_4039,6,72,2
clan_21149,clan_26494,6,75,2
clan_37402,clan_43852,6,76,2
clan_28207,clan_1825,6,76,2
clan_3875,clan_6807,6,78,2
clan_24262,clan_20976,6,78,2
clan_2428,clan_20388,6,78,2
clan_2815,clan_13660,6,78,2
clan_22232,clan_3201,6,80,2
clan_3989,clan_12248,6,80,2
clan_12121,clan_13429,6,80,2
clan_42184,clan_15933,6,82,2
clan_9149,clan_11808,6,84,2
clan_5238,clan_34227,6,84,2
clan_19579,clan_43255,6,84,2
clan_3561,clan_2425,6,84,2
clan_21513,clan_41054,6,84,2
clan_38098,clan_34883,6,86,2
clan_6868,clan_39530,6,86,2
clan_38775,clan_46144,6,86,2
clan_18125,clan_21798,6,86,2
clan_17503,clan_46034,6,86,2
clan_4852,clan_28887,6,87,2
clan_38670,clan_35807,6,87,2
clan_25695,clan_13726,6,87,2
clan_5452,clan_40212,6,88,2
clan_12050,clan_18137,6,90,2
clan_19712,clan_33130,6,90,2
clan_11673,clan_29106,6,90,2
clan_37641,clan_47095,6,90,2
clan_10207,clan_36772,6,90,2
clan_22731,clan_28475,6,90,2
clan_8479,clan_29980,6,90,2
clan_10137,clan_10794,6,90,2
clan_11806,clan_3463,6,90,2
clan_15870,clan_32143,6,90,2
clan_47430,clan_1690,6,92,2
clan_28003,clan_39620,6,93,2
clan_11218,clan_16259,6,96,2
clan_41449,clan_36635,6,96,2
clan_34235,clan_43793,6,96,2
clan_11607,clan_19590,6,96,2
clan_3344,clan_29782,6,96,2
clan_2390,clan_14594,6,96,2
clan_13138,clan_12091,6,96,2
clan_10575,clan_35238,6,96,2
clan_12382,clan_42666,6,96,2
clan_29455,clan_40232,6,99,2
clan_40120,clan_48513,6,99,2
clan_18377,clan_35823,6,99,2
clan_34455,clan_44996,6,99,2
clan_14943,clan_22587,6,99,2
clan_11667,clan_46904,6,111,2
clan_5027,clan_24652,7,74,2
clan_40064,clan_44623,7,75,2
clan_19008,clan_29280,7,78,2
clan_16489,clan_17715,7,79,2
clan_27537,clan_22522,7,80,2
clan_22650,clan_4844,7,80,2
clan_11158,clan_9509,7,81,2
clan_29372,clan_10809,7,86,2
clan_30062,clan_46184,7,86,2
clan_25076,clan_4244,7,86,2
clan_24301,clan_2403,7,86,2
clan_35728,clan_2027,7,94,2
clan_1501,clan_46241,7,104,2
clan_32159,clan_38802,8,62,2
clan_9021,clan_2879,8,63,2
clan_22694,clan_4108,8,65,2
clan_11914,clan_20113,8,68,2
clan_11911,clan_14694,8,72,2
clan_7820,clan_12860,8,73,2
clan_14529,clan_10935,8,74,2
clan_4749,clan_25519,8,74,2
clan_18825,clan_30626,8,74,2
clan_3221,clan_22949,8,74,2
clan_24073,clan_31702,8,75,2
clan_7599,clan_2892,8,75,2
clan_7144,clan_6584,8,78,2
clan_9524,clan_9722,8,78,2
clan_36612,clan_45817,8,80,2
clan_15783,clan_17640,8,80,2
clan_5003,clan_24122,8,80,2
clan_34440,clan_45441,8,81,2
clan_30084,clan_32408,8,83,2
clan_12419,clan_10028,8,84,2
clan_29375,clan_27542,8,87,2
clan_5966,clan_41175,8,87,2
clan_39185,clan_39948,8,90,2
clan_29599,clan_34889,8,90,2
clan_35699,clan_30075,8,90,2
clan_15961,clan_24808,8,90,2
clan_27459,clan_36450,8,93,2
clan_2137,clan_35889,8,93,2
clan_36105,clan_46830,8,93,2
clan_21105,clan_22122,9,59,2
clan_10784,clan_46633,9,60,2
clan_3298,clan_19713,9,61,2
clan_11961,clan_8826,9,64,2
clan_4508,clan_8567,9,64,2
clan_20187,clan_31925,9,66,2
clan_2644,clan_16903,9,66,2
clan_11825,clan_28316,9,68,2
clan_10744,clan_41360,9,68,2
clan_34623,clan_1603,9,69,2
clan_46029,clan_45095,9,69,2
clan_6941,clan_24727,9,71,2
clan_6460,clan_13092,9,72,2
clan_10840,clan_41441,9,72,2
clan_19452,clan_3294,9,72,2
clan_12940,clan_43584,9,72,2
clan_22662,clan_23548,9,72,2
clan_27859,clan_5591,9,72,2
clan_7203,clan_44120,9,72,2
clan_44210,clan_43753,9,75,2
clan_6623,clan_38826,9,75,2
clan_24173,clan_22812,9,75,2
clan_40536,clan_42933,9,77,2
clan_16647,clan_12761,9,78,2
clan_29335,clan_11109,9,78,2
clan_7202,clan_5589,9,78,2
clan_13317,clan_13149,9,80,2
clan_16140,clan_39342,9,80,2
clan_34381,clan_44485,9,80,2
clan_20439,clan_35821,9,81,2
clan_3856,clan_25021,9,81,2
clan_25213,clan_27333,9,81,2
clan_6834,clan_38329,9,81,2
clan_40248,clan_43865,9,81,2
clan_31465,clan_30985,9,81,2
clan_30223,clan_4309,9,81,2
clan_17634,clan_6134,9,81,2
clan_33041,clan_36480,9,81,2
clan_27405,clan_33301,9,81,2
clan_37606,clan_35931,9,81,2
clan_15693,clan_35467,9,82,2
clan_5522,clan_14989,9,84,2
clan_5574,clan_1594,9,84,2
clan_11022,clan_8156,9,84,2
clan_3784,clan_38574,9,84,2
clan_41731,clan_45295,9,84,2
clan_4804,clan_4806,9,84,2
clan_19938,clan_36516,9,84,2
clan_33860,clan_44315,9,84,2
clan_8086,clan_44684,9,84,2
clan_27210,clan_47723,9,84,2
clan_9944,clan_10233,9,86,2
clan_15447,clan_35283,9,87,2
clan_13173,clan_18136,9,87,2
clan_10576,clan_9715,9,87,2
clan_38945,clan_32026,9,87,2
clan_23470,clan_32936,9,87,2
clan_5295,clan_24115,9,87,2
clan_24504,clan_39782,9,87,2
clan_18360,clan_32305,9,87,2
clan_17610,clan_42197,9,87,2
clan_23906,clan_20947,9,87,2
clan_28594,clan_44620,9,87,2
clan_4752,clan_10036,9,87,2
clan_12967,clan_46050,9,87,2
clan_3695,clan_5267,9,87,2
clan_17531,clan_11646,9,87,2
clan_18619,clan_23279,9,88,2
clan_39822,clan_45081,9,90,2
clan_36921,clan_42623,9,90,2
clan_12992,clan_383,9,90,2
clan_18640,clan_37749,9,90,2
clan_3777,clan_25073,9,90,2
clan_22074,clan_2405,9,90,2
clan_38694,clan_40827,9,90,2
clan_14622,clan_22574,9,90,2
clan_8824,clan_39801,9,90,2
clan_40262,clan_48111,9,90,2
clan_22333,clan_31104,9,90,2
clan_30161,clan_40925,9,93,2
clan_15711,clan_43582,9,93,2
clan_22750,clan_9508,9,93,2
clan_28743,clan_38973,9,93,2
clan_3839,clan_42228,9,93,2
clan_25765,clan_25729,9,93,2
clan_42934,clan_48273,9,93,2
clan_42625,clan_46851,9,93,2
clan_39281,clan_40878,9,93,2
clan_9420,clan_37205,9,93,2
clan_13800,clan_18328,9,93,2
clan_18483,clan_6785,9,93,2
clan_12674,clan_40087,9,93,2
clan_4061,clan_38052,9,93,2
clan_10409,clan_37902,9,93,2
clan_8941,clan_27627,9,93,2
clan_10238,clan_42371,9,93,2
clan_28183,clan_34368,9,93,2
clan_32751,clan_44636,9,93,2
clan_26390,clan_32225,9,93,2
clan_16986,clan_41900,9,93,2
clan_23650,clan_40255,9,93,2
clan_14246,clan_24916,9,96,2
clan_8329,clan_19066,9,96,2
clan_21713,clan_28643,9,96,2
clan_21696,clan_24717,9,96,2
clan_23173,clan_34098,9,96,2
clan_9139,clan_31992,9,96,2
clan_33732,clan_38560,9,99,2
clan_167,clan_561,9,99,2
clan_48036,clan_42560,9,99,2
clan_48306,clan_48331,9,99,2
clan_14287,clan_43112,9,99,2
clan_27314,clan_40294,9,99,2
clan_19195,clan_36974,9,99,2
clan_29615,clan_32697,9,99,2
clan_42832,clan_45078,9,99,2
clan_34425,clan_16579,9,99,2
clan_16690,clan_36534,9,99,2
clan_41145,clan_45409,9,99,2
clan_40047,clan_44665,9,99,2
clan_35154,clan_44569,9,99,2
clan_45665,clan_46179,9,99,2
clan_40553,clan_44575,9,99,2
clan_21449,clan_29563,9,99,2
clan_34200,clan_45580,9,99,2
clan_3917,clan_20507,9,99,2
clan_32669,clan_41861,9,99,2
clan_29829,clan_48486,9,99,2
clan_5154,clan_45127,9,99,2
clan_10736,clan_22235,9,99,2
clan_41939,clan_26169,9,99,2
clan_11012,clan_2500,10,68,2
clan_6468,clan_18573,10,69,2
clan_25106,clan_7628,10,70,2
clan_13861,clan_3751,10,73,2
clan_10834,clan_26293,10,76,2
clan_17817,clan_21075,10,77,2
clan_5884,clan_9184,10,77,2
clan_12294,clan_30139,10,79,2
clan_9878,clan_38946,10,80,2
clan_4815,clan_36222,10,81,2
clan_41605,clan_42105,10,81,2
clan_24476,clan_32686,10,81,2
clan_2830,clan_40866,10,83,2
clan_6100,clan_29738,10,84,2
clan_31164,clan_37636,10,87,2
clan_24048,clan_18170,11,34,2
clan_19052,clan_37810,11,47,2
clan_3517,clan_14213,11,53,2
clan_5041,clan_22342,11,56,2
clan_6213,clan_22375,11,63,2
clan_24033,clan_13737,11,63,2
clan_14567,clan_2696,11,63,2
clan_24606,clan_3812,11,66,2
clan_38520,clan_46853,11,67,2
clan_11297,clan_27527,11,69,2
clan_38936,clan_38889,11,69,2
clan_11623,clan_39535,11,72,2
clan_4196,clan_29009,11,74,2
clan_31973,clan_22513,11,76,2
clan_8667,clan_34347,11,77,2
clan_8419,clan_39025,11,77,2
clan_17800,clan_5412,11,77,2
clan_14601,clan_13676,11,77,2
clan_3913,clan_30664,11,77,2
clan_34295,clan_837,11,78,2
clan_22908,clan_14176,11,78,2
clan_10592,clan_36096,11,78,2
clan_16153,clan_11863,11,80,2
clan_20324,clan_9265,11,80,2
clan_15248,clan_38672,11,81,2
clan_4162,clan_25803,11,81,2
clan_5825,clan_24019,11,81,2
clan_17870,clan_21874,11,81,2
clan_9478,clan_35258,11,82,2
clan_20833,clan_36503,11,83,2
clan_30313,clan_21918,11,84,2
clan_34186,clan_9441,11,86,2
clan_8694,clan_32953,11,87,2
clan_32781,clan_30931,11,87,2
clan_31568,clan_37777,11,87,2
clan_32805,clan_41798,11,90,2
clan_19022,clan_14267,11,90,2
clan_3047,clan_36099,11,90,2
clan_11999,clan_28672,11,90,2
clan_32646,clan_43402,11,90,2
clan_30463,clan_43310,11,93,2
clan_39609,clan_43457,11,93,2
clan_34463,clan_45691,11,93,2
clan_30007,clan_41262,11,93,2
clan_20549,clan_39465,11,93,2
clan_25536,clan_5617,11,93,2
clan_12732,clan_36062,11,93,2
clan_9382,clan_21018,12,37,2
clan_11872,clan_21946,12,54,2
clan_9457,clan_16167,12,57,2
clan_22900,clan_10758,12,60,2
clan_10901,clan_11494,12,63,2
clan_8549,clan_19771,12,63,2
clan_7377,clan_14532,12,65,2
clan_3364,clan_6117,12,65,2
clan_21078,clan_20624,12,66,2
clan_3119,clan_16219,12,67,2
clan_19553,clan_22504,12,67,2
clan_13560,clan_5248,12,67,2
clan_10737,clan_35383,12,68,2
clan_10599,clan_45265,12,68,2
clan_44381,clan_48404,12,68,2
clan_40938,clan_45488,12,68,2
clan_10708,clan_6113,12,69,2
clan_19570,clan_10120,12,69,2
clan_10024,clan_20894,12,69,2
clan_3107,clan_18267,12,69,2
clan_17360,clan_39333,12,71,2
clan_20409,clan_5434,12,72,2
clan_15223,clan_36811,12,72,2
clan_10306,clan_21071,12,72,2
clan_9205,clan_34537,12,72,2
clan_20629,clan_24709,12,72,2
clan_14151,clan_5626,12,73,2
clan_28576,clan_44899,12,74,2
clan_4600,clan_33893,12,74,2
clan_12991,clan_12888,12,75,2
clan_27090,clan_17193,12,75,2
clan_5723,clan_31473,12,75,2
clan_20564,clan_11563,12,75,2
clan_44448,clan_47416,12,75,2
clan_4629,clan_43910,12,75,2
clan_17514,clan_4510,12,75,2
clan_13460,clan_27444,12,75,2
clan_23899,clan_28773,12,75,2
clan_4634,clan_8257,12,75,2
clan_20550,clan_5096,12,76,2
clan_48383,clan_46282,12,77,2
clan_3495,clan_44465,12,77,2
clan_2272,clan_42317,12,77,2
clan_23969,clan_34305,12,78,2
clan_38383,clan_45831,12,78,2
clan_32502,clan_39338,12,78,2
clan_19053,clan_21373,12,78,2
clan_6837,clan_3018,12,78,2
clan_9142,clan_20219,12,78,2
clan_2497,clan_33796,12,78,2
clan_16232,clan_29608,12,78,2
clan_8152,clan_17675,12,78,2
clan_30841,clan_25602,12,78,2
clan_25515,clan_7263,12,78,2
clan_24360,clan_27334,12,78,2
clan_9818,clan_6390,12,78,2
clan_7529,clan_8556,12,79,2
clan_16756,clan_37214,12,80,2
clan_33431,clan_45063,12,80,2
clan_23765,clan_6564,12,80,2
clan_25882,clan_3534,12,80,2
clan_25888,clan_17315,12,80,2
clan_30937,clan_16440,12,81,2
clan_23829,clan_43311,12,81,2
clan_20244,clan_23095,12,81,2
clan_34383,clan_42959,12,81,2
clan_17611,clan_30830,12,81,2
clan_2417,clan_30432,12,81,2
clan_37154,clan_44093,12,81,2
clan_42707,clan_36881,12,81,2
clan_34598,clan_37852,12,81,2
clan_10364,clan_16657,12,81,2
clan_22884,clan_27660,12,81,2
clan_18764,clan_38745,12,81,2
clan_22919,clan_40685,12,81,2
clan_40758,clan_41271,12,81,2
clan_40520,clan_45649,12,82,2
clan_36128,clan_834,12,83,2
clan_15287,clan_39230,12,83,2
clan_33056,clan_14801,12,83,2
clan_40692,clan_47867,12,83,2
clan_19982,clan_45778,12,83,2
clan_35628,clan_1152,12,83,2
clan_38241,clan_42750,12,83,2
clan_22438,clan_32917,12,84,2
clan_23790,clan_29795,12,84,2
clan_27863,clan_32478,12,84,2
clan_17470,clan_18013,12,84,2
clan_16880,clan_27089,12,84,2
clan_10316,clan_6766,12,84,2
clan_6728,clan_28534,12,84,2
clan_33105,clan_42002,12,84,2
clan_14747,clan_8204,12,84,2
clan_14436,clan_24801,12,84,2
clan_17736,clan_40012,12,84,2
clan_7513,clan_14085,12,84,2
clan_4026,clan_45803,12,84,2
clan_10435,clan_17620,12,84,2
clan_24972,clan_13368,12,84,2
clan_34154,clan_45644,12,84,2
clan_24290,clan_27927,12,84,2
clan_9171,clan_29860,12,84,2
clan_17227,clan_35424,12,86,2
clan_14148,clan_22941,12,86,2
clan_40328,clan_47026,12,87,2
clan_14210,clan_7804,12,87,2
clan_22095,clan_46891,12,87,2
clan_23615,clan_6758,12,87,2
clan_26812,clan_45720,12,87,2
clan_24919,clan_47005,12,87,2
clan_3419,clan_30276,12,87,2
clan_27600,clan_45782,12,87,2
clan_13529,clan_7048,12,87,2
clan_14008,clan_31029,12,87,2
clan_22339,clan_14254,12,87,2
clan_23339,clan_20920,12,87,2
clan_11281,clan_15024,12,87,2
clan_42287,clan_42769,12,87,2
clan_32885,clan_45640,12,87,2
clan_7915,clan_46955,12,87,2
clan_6302,clan_46522,12,87,2
clan_24796,clan_9980,12,87,2
clan_36622,clan_42708,12,87,2
clan_24352,clan_26821,12,87,2
clan_15957,clan_30775,12,87,2
clan_4920,clan_163,12,87,2
clan_29259,clan_46413,12,87,2
clan_6694,clan_3759,12,87,2
clan_3627,clan_36845,12,87,2
clan_8790,clan_33725,12,87,2
clan_27377,clan_46740,12,87,2
clan_15554,clan_35837,12,87,2
clan_21405,clan_1292,12,87,2
clan_11039,clan_39540,12,87,2
clan_35727,clan_47857,12,87,2
clan_32220,clan_30681,12,87,2
clan_8920,clan_6435,12,87,2
clan_47023,clan_295,12,87,2
clan_36623,clan_45004,12,87,2
clan_5497,clan_23265,12,87,2
clan_29546,clan_44128,12,87,2
clan_11683,clan_33969,12,87,2
clan_24220,clan_35021,12,87,2
clan_29669,clan_41024,12,89,2
clan_35845,clan_1831,12,89,2
clan_31324,clan_48095,12,89,2
clan_37148,clan_44126,12,89,2
clan_30855,clan_38310,12,89,2
clan_25563,clan_43778,12,89,2
clan_23241,clan_40869,12,89,2
clan_26060,clan_47067,12,89,2
clan_955,clan_44745,12,89,2
clan_40124,clan_47273,12,89,2
clan_3330,clan_23288,12,89,2
clan_16728,clan_38420,12,90,2
clan_10697,clan_45230,12,90,2
clan_46958,clan_45598,12,90,2
clan_16339,clan_27289,12,90,2
clan_27165,clan_37399,12,90,2
clan_17647,clan_37019,12,90,2
clan_19923,clan_37545,12,90,2
clan_20117,clan_34659,12,90,2
clan_34438,clan_32822,12,90,2
clan_19139,clan_27934,12,90,2
clan_6717,clan_37853,12,90,2
clan_19320,clan_35879,12,90,2
clan_24306,clan_10950,12,90,2
clan_12965,clan_21239,12,90,2
clan_24491,clan_31736,12,90,2
clan_20478,clan_26986,12,90,2
clan_28692,clan_40347,12,90,2
clan_17060,clan_38378,12,90,2
clan_24121,clan_44712,12,90,2
clan_8382,clan_43978,12,90,2
clan_12868,clan_12023,12,92,2
clan_46178,clan_44348,12,92,2
clan_24804,clan_34586,12,93,2
clan_12308,clan_47131,12,93,2
clan_849,clan_47190,12,93,2
clan_27073,clan_23706,12,93,2
clan_30530,clan_31289,12,93,2
clan_27107,clan_40299,12,93,2
clan_47402,clan_1714,12,93,2
clan_28301,clan_41117,12,93,2
clan_13748,clan_29870,12,93,2
clan_2853,clan_1974,12,93,2
clan_20011,clan_5310,12,93,2
clan_13343,clan_10202,12,93,2
clan_3019,clan_33315,12,93,2
clan_28678,clan_28937,12,93,2
clan_4989,clan_11973,12,93,2
clan_46459,clan_1510,12,93,2
clan_19721,clan_42319,12,93,2
clan_22665,clan_42830,12,93,2
clan_22168,clan_39250,12,93,2
clan_29887,clan_46582,12,93,2
clan_18868,clan_31394,12,93,2
clan_11184,clan_39881,12,93,2
clan_37466,clan_44382,12,93,2
clan_37969,clan_43542,12,93,2
clan_46614,clan_47876,12,93,2
clan_10826,clan_21298,12,93,2
clan_3753,clan_35130,12,93,2
clan_16022,clan_39399,12,93,2
clan_9249,clan_20959,12,93,2
clan_38312,clan_43006,12,99,2
clan_44123,clan_48183,12,102,2
clan_12205,clan_21523,13,36,2
clan_12822,clan_3,13,60,2
clan_19495,clan_29131,13,61,2
clan_32020,clan_33039,13,62,2
clan_12274,clan_11309,13,64,2
clan_19986,clan_26834,13,64,2
clan_6473,clan_11487,13,64,2
clan_6197,clan_15817,13,64,2
clan_3807,clan_17856,13,65,2
clan_8073,clan_8764,13,65,2
clan_3035,clan_5551,13,65,2
clan_23760,clan_11205,13,65,2
clan_16697,clan_37264,13,66,2
clan_25224,clan_23780,13,68,2
clan_16282,clan_17372,13,70,2
clan_16950,clan_32623,13,71,2
clan_6365,clan_25020,13,72,2
clan_4681,clan_7311,13,72,2
clan_10910,clan_8561,13,73,2
clan_12398,clan_18673,13,73,2
clan_19324,clan_12907,13,75,2
clan_5970,clan_32404,13,76,2
clan_7317,clan_36501,13,77,2
clan_12489,clan_17625,13,77,2
clan_11443,clan_15058,13,78,2
clan_6994,clan_33939,13,78,2
clan_23525,clan_3828,13,78,2
clan_15749,clan_8648,13,79,2
clan_8881,clan_15672,13,80,2
clan_13762,clan_29139,13,80,2
clan_21670,clan_13476,13,80,2
clan_8762,clan_26590,13,81,2
clan_30184,clan_17127,13,81,2
clan_12423,clan_34723,13,81,2
clan_21638,clan_18648,13,83,2
clan_44456,clan_863,13,84,2
clan_13731,clan_43412,13,87,2
clan_34653,clan_34812,13,87,2
clan_48066,clan_1548,13,115,2
clan_11955,clan_8571,14,44,2
clan_4313,clan_5353,14,58,2
clan_5460,clan_12586,14,58,2
clan_28452,clan_15466,14,60,2
clan_7906,clan_26521,14,60,2
clan_14399,clan_12154,14,61,2
clan_9167,clan_8916,14,61,2
clan_2930,clan_11671,14,63,2
clan_26840,clan_21237,14,65,2
clan_3922,clan_6415,14,65,2
clan_23326,clan_21685,14,65,2
clan_15136,clan_2538,14,65,2
clan_14306,clan_13230,14,66,2
clan_20886,clan_35582,14,66,2
clan_43219,clan_44247,14,67,2
clan_27449,clan_40911,14,70,2
clan_9004,clan_8484,14,70,2
clan_26483,clan_42847,14,70,2
clan_3102,clan_2893,14,70,2
clan_11459,clan_10580,14,72,2
clan_9561,clan_29967,14,72,2
clan_14992,clan_24685,14,72,2
clan_16653,clan_13151,14,72,2
clan_47320,clan_47070,14,73,2
clan_9730,clan_17929,14,74,2
clan_2254,clan_47346,14,74,2
clan_8488,clan_17249,14,74,2
clan_12518,clan_10558,14,74,2
clan_4912,clan_11094,14,74,2
clan_17904,clan_5924,14,74,2
clan_30398,clan_44542,14,74,2
clan_36740,clan_45547,14,75,2
clan_27492,clan_26317,14,76,2
clan_21681,clan_27926,14,76,2
clan_48075,clan_38261,14,77,2
clan_19894,clan_22790,14,77,2
clan_7538,clan_37835,14,77,2
clan_20778,clan_30233,14,77,2
clan_39943,clan_40295,14,78,2
clan_17035,clan_14447,14,78,2
clan_3010,clan_32650,14,78,2
clan_12300,clan_43004,14,78,2
clan_17341,clan_32172,14,78,2
clan_16473,clan_37977,14,79,2
clan_4147,clan_25848,14,80,2
clan_45249,clan_2418,14,80,2
clan_14002,clan_46275,14,81,2
clan_42382,clan_44287,14,81,2
clan_6011,clan_6616,14,81,2
clan_3651,clan_28257,14,81,2
clan_24226,clan_20753,14,82,2
clan_41261,clan_42954,14,83,2
clan_9702,clan_32458,14,83,2
clan_24112,clan_15822,14,84,2
clan_25050,clan_40435,14,86,2
clan_23038,clan_24895,14,87,2
clan_11041,clan_25506,14,87,2
clan_25182,clan_32748,14,87,2
clan_30631,clan_30695,14,87,2
clan_17701,clan_42918,14,87,2
clan_16252,clan_21042,14,87,2
clan_16326,clan_42775,14,87,2
clan_27440,clan_21691,14,87,2
clan_3781,clan_24634,14,87,2
clan_6461,clan_36978,14,87,2
clan_45155,clan_1519,14,89,2
clan_9879,clan_17364,15,24,2
clan_3884,clan_3249,15,34,2
clan_2494,clan_14713,15,51,2
clan_7565,clan_30700,15,59,2
clan_26975,clan_15338,15,59,2
clan_2704,clan_15857,15,60,2
clan_5968,clan_28497,15,60,2
clan_15918,clan_13068,15,60,2
clan_2648,clan_13765,15,62,2
clan_23474,clan_20195,15,63,2
clan_4594,clan_24632,15,63,2
clan_16446,clan_13408,15,64,2
clan_33543,clan_42070,15,66,2
clan_22659,clan_20218,15,66,2
clan_25739,clan_25740,15,66,2
clan_24941,clan_39930,15,66,2
clan_7344,clan_26826,15,66,2
clan_10655,clan_8265,15,67,2
clan_41640,clan_44205,15,67,2
